EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas
,,,,,,,,,,,,,,,2025,12,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,52,6,Neumonía (J12-J18),1,0,0,0,0,1
,,,,,,,,,,,,,,,2025,33,4,IRA Alta (J00-J06),45,0,6,13,25,1
,,,,,,,,,,,,,,,2024,23,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,45,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,7,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2023,26,4,IRA Alta (J00-J06),143,4,12,36,85,6
,,,,,,,,,,,,,,,2025,41,7,Bronquitis/bronquiolitis aguda (J20-J21),115,0,19,23,54,19
,,,,,,,,,,,,,,,2024,11,8,Crisis obstructiva bronquial (J40-J46),2,0,0,0,1,1
,,,,,,,,,,,,,,,2024,32,7,Bronquitis/bronquiolitis aguda (J20-J21),13,0,3,1,9,0
,,,,,,,,,,,,,,,2023,22,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),384,11,65,129,155,24
,,,,,,,,,,,,,,,2025,16,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,47,5,Influenza (J09-J11),16,0,4,5,7,0
,,,,,,,,,,,,,,,2026,11,6,Neumonía (J12-J18),6,0,1,1,1,3
,,,,,,,,,,,,,,,2026,5,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
