EstablecimientoCodigo,Cluster,Volumen_Total,Promedio_Semanal,Max_Semanal,Semanas_Con_Datos,RegionCodigo,ServicioSaludCodigo,NivelAtencion,NivelComplejidad,RegionNombre
128112,3,28879.0,44.225114854517614,159.0,651,8,28,1,1.0,Biobío
201078,3,28785.0,44.08116385911179,258.0,260,8,18,1,1.0,Biobío
200161,3,28463.0,43.588055130168456,244.0,293,9,21,1,1.0,Araucanía
200878,3,28406.0,43.50076569678407,134.0,653,13,10,1,1.0,Metropolitana
201069,3,28379.0,43.4594180704441,326.0,260,12,26,1,1.0,Magallanes
201319,3,28146.0,43.10260336906585,626.0,100,1,2,3,2.0,Tarapacá
200154,3,27675.0,42.381316998468606,278.0,291,9,21,1,1.0,Araucanía
200745,3,27324.0,41.84379785604901,402.0,649,8,28,1,1.0,Biobío
133160,3,27263.0,41.750382848392036,182.0,653,10,33,1,1.0,Los Lagos
115111,3,26240.0,40.18376722817764,165.0,643,6,15,1,1.0,O'Higgins
201274,3,26034.0,39.86830015313936,344.0,170,9,21,1,1.0,Araucanía
200857,3,26012.0,39.83460949464012,139.0,653,6,15,1,1.0,O'Higgins
200998,3,25994.0,39.807044410413475,279.0,260,5,7,1,1.0,Valparaíso
125102,3,25913.0,39.683001531393565,186.0,603,11,25,1,1.0,Aysén
200757,3,25772.0,39.46707503828484,316.0,300,7,16,1,1.0,Maule
121110,3,25594.0,39.19448698315467,263.0,314,9,21,3,2.0,Araucanía
200974,3,25542.0,39.11485451761103,353.0,232,8,20,1,1.0,Biobío
200999,3,25066.0,38.38591117917305,227.0,261,5,7,1,1.0,Valparaíso
116104,3,24979.0,38.25267993874426,161.0,652,7,16,1,1.0,Maule
124380,3,24210.0,37.0750382848392,166.0,622,10,24,1,1.0,Los Lagos
200695,3,23316.0,35.70597243491577,276.0,180,5,6,1,1.0,Valparaíso
200950,3,23226.0,35.56814701378254,142.0,562,3,4,1,1.0,Atacama
126102,3,23156.0,35.46094946401225,199.0,436,12,26,1,1.0,Magallanes
200850,3,23035.0,35.275650842266465,264.0,649,6,15,1,1.0,O'Higgins
121113,3,23011.0,35.23889739663093,219.0,314,9,21,1,1.0,Araucanía
200758,3,22918.0,35.09647779479326,242.0,293,7,16,1,1.0,Maule
121118,3,22082.0,33.81623277182236,245.0,314,9,21,1,1.0,Araucanía
121116,3,22052.0,33.77029096477795,270.0,315,9,21,1,1.0,Araucanía
