EstablecimientoCodigo,RegionCodigo,ComunaCodigo,ServicioSaludCodigo,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,NumTotal,Causa
200118,13,13103,10,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2023,29,5,0,Influenza (J09-J11)
200165,14,14101,22,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2026,3,5,4,Influenza (J09-J11)
123100,10,10301,23,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2017,22,6,66,Neumonía (J12-J18)
120103,8,8306,20,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2023,23,4,64,IRA alta (J00-J06)
111804,13,13119,11,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2020,10,34,0,"COVID-19, virus no identificado (U07.2)"
126102,12,12301,26,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2018,29,6,2,Neumonía (J12-J18)
115803,6,6101,15,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2021,14,6,2,Neumonía (J12-J18)
102803,1,1401,2,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2021,24,6,0,Neumonía (J12-J18)
105804,4,4102,5,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2014,36,4,174,IRA alta (J00-J06)
200623,6,6310,15,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2021,40,4,80,IRA alta (J00-J06)
123104,10,10306,23,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2022,38,4,2,IRA alta (J00-J06)
200170,11,11101,25,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2024,11,5,4,Influenza (J09-J11)
124145,10,10402,24,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2019,8,9,2,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
113802,13,13130,13,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2022,34,9,5,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
200138,13,13124,10,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2024,13,9,21,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
200743,13,13302,9,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2025,41,9,7,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
121116,9,9116,21,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2025,42,34,0,"COVID-19, virus no identificado (U07.2)"
122101,14,14102,22,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2015,14,8,3,Crisis obstructiva bronquial (J40-J46)
200784,7,7203,16,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2021,47,8,0,Crisis obstructiva bronquial (J40-J46)
102807,1,1107,2,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2024,38,5,0,Influenza (J09-J11)
200738,4,4304,5,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2026,12,6,1,Neumonía (J12-J18)
128110,8,8201,28,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2016,19,9,1,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
107102,5,5801,7,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2019,10,4,63,IRA alta (J00-J06)
111809,13,13119,11,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2022,7,8,10,Crisis obstructiva bronquial (J40-J46)
119801,8,8112,19,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2024,40,8,31,Crisis obstructiva bronquial (J40-J46)
200973,8,8302,20,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2023,21,35,0,"COVID-19, virus identificado (U07.1)"
200143,13,13123,12,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2022,45,34,0,"COVID-19, virus no identificado (U07.2)"
200928,4,4102,5,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2021,45,7,2,Bronquitis/Bronquiolitis aguda (J20-J21)
119807,8,8110,19,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2019,15,6,7,Neumonía (J12-J18)
200495,8,8301,20,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2025,28,9,19,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
128113,8,8202,28,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2017,13,4,134,IRA alta (J00-J06)
113808,13,13116,13,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2018,7,4,86,IRA alta (J00-J06)
119101,8,8111,19,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2021,35,8,2,Crisis obstructiva bronquial (J40-J46)
117801,16,16101,17,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Servicio de Salud,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2019,19,7,52,Bronquitis/Bronquiolitis aguda (J20-J21)
200788,14,14103,22,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2025,39,7,10,Bronquitis/Bronquiolitis aguda (J20-J21)
201079,12,12401,26,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2022,52,5,0,Influenza (J09-J11)
121803,9,9101,21,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Servicio de Salud,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2022,43,34,0,"COVID-19, virus no identificado (U07.2)"
105802,4,4101,5,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2024,24,4,98,IRA alta (J00-J06)
133155,10,10202,33,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Mediana Complejidad,2025,36,4,41,IRA alta (J00-J06)
