fecha,residuo
2014-01-06,8.414831805848713
2014-01-13,1.24088594943552
2014-01-20,-4.070277906140014
2014-01-27,-0.1852199516703994
2014-02-03,0.05579429108164291
2014-02-10,0.0313038535036565
2014-02-17,0.02178180403864971
2014-02-24,-0.05673499687947903
2014-03-03,0.06625928150494254
2014-03-10,-0.02003005807498326
2014-03-17,0.3874822077271851
2014-03-24,0.2469575556853041
2014-03-31,-0.20109768840787723
2014-04-07,-0.09818077910372303
2014-04-14,0.004103570078378027
2014-04-21,-0.09191382597256492
2014-04-28,0.05034436149293242
2014-05-05,-0.1386206990601213
2014-05-12,-0.04751309517316038
2014-05-19,0.047785815753002225
2014-05-26,0.11464245406007478
2014-06-02,-0.011766561951242593
2014-06-09,0.07679350263213891
2014-06-16,0.06976261145305429
2014-06-23,0.17923860272317427
2014-06-30,0.06303209057594827
2014-07-07,0.12678750556517393
2014-07-14,0.09700851674996258
2014-07-21,0.058502339105539036
2014-07-28,-0.12275781786641993
2014-08-04,-0.16171148045327222
2014-08-11,0.07966234767837577
2014-08-18,0.18870570009613807
2014-08-25,0.11294948197490662
2014-09-01,-0.002288424734540939
2014-09-08,-0.11583889629495481
2014-09-15,0.048700718021148504
2014-09-22,-0.02221902842692458
2014-09-29,0.05144871202897683
2014-10-06,-0.047299702276099254
2014-10-13,-0.022579751660241953
2014-10-20,0.030595394093056782
2014-10-27,-0.021140501521411892
2014-11-03,0.0028004726755543885
2014-11-10,0.08391970483744515
2014-11-17,-0.08184791354244858
2014-11-24,0.07573150128552619
2014-12-01,0.0586127535371368
2014-12-08,0.07144414363375517
2014-12-15,-0.035388229427676166
2014-12-22,0.08308170175801166
2014-12-29,0.08817768571907791
2015-01-05,-0.49304124158241436
2015-01-12,0.5469955616652147
2015-01-19,-0.15329827629321358
2015-01-26,-0.01230686695363481
2015-02-02,-0.06293414231098815
2015-02-09,-0.03956683762265545
2015-02-16,0.07996251332951765
2015-02-23,0.1330134742598954
2015-03-02,-0.07204520003461923
2015-03-09,0.03527445023357778
2015-03-16,0.2612519822207542
2015-03-23,0.27878412069050107
2015-03-30,-0.019571585748664688
2015-04-06,-0.1337896806787029
2015-04-13,-0.011858301655086834
2015-04-20,0.0038506991329008144
2015-04-27,0.17122445726261581
2015-05-04,-0.09681664839998305
2015-05-11,0.01185375413621692
2015-05-18,-0.05848274179061619
2015-05-25,-0.06630690451016186
2015-06-01,0.015851692135361972
2015-06-08,-0.22492735847778533
