region,anio,semana,humedad_relativa_promedio_porcentaje
Antofagasta,2017,51,80.14
Antofagasta,2017,52,78.57
Antofagasta,2018,1,77.0
Antofagasta,2018,2,76.71
Antofagasta,2018,3,75.71
Antofagasta,2018,4,78.29
Antofagasta,2018,5,78.29
Antofagasta,2018,6,77.57
Antofagasta,2018,7,78.14
Antofagasta,2018,8,75.14
Antofagasta,2018,9,78.29
Antofagasta,2018,10,76.43
Antofagasta,2018,11,79.57
Antofagasta,2018,12,80.57
Antofagasta,2018,13,85.14
Antofagasta,2018,14,80.86
Antofagasta,2018,15,84.0
Antofagasta,2018,16,86.86
Antofagasta,2018,17,88.0
Antofagasta,2018,18,87.0
Antofagasta,2018,19,83.43
Antofagasta,2018,20,87.71
Antofagasta,2018,21,89.0
Antofagasta,2018,22,85.71
Antofagasta,2018,23,78.29
Antofagasta,2018,24,80.0
Antofagasta,2018,25,89.14
Antofagasta,2018,26,84.14
Antofagasta,2018,27,87.86
Antofagasta,2018,28,88.29
Antofagasta,2018,29,86.29
Antofagasta,2018,30,87.86
Antofagasta,2018,31,86.43
Antofagasta,2018,32,87.57
Antofagasta,2018,33,86.57
Antofagasta,2018,34,86.14
Antofagasta,2018,35,82.14
Antofagasta,2018,36,83.86
Antofagasta,2018,37,81.71
Antofagasta,2018,38,84.57
Antofagasta,2018,39,83.43
Antofagasta,2018,40,84.29
Antofagasta,2018,41,83.57
Antofagasta,2018,42,80.29
Antofagasta,2018,43,81.0
Antofagasta,2018,44,80.71
Antofagasta,2018,45,81.14
Antofagasta,2018,46,78.14
Antofagasta,2018,47,80.71
Antofagasta,2018,48,78.43
Antofagasta,2018,49,75.29
Antofagasta,2018,50,77.71
Antofagasta,2018,51,80.71
Antofagasta,2018,52,80.14
Antofagasta,2019,1,80.0
Antofagasta,2019,2,75.86
Antofagasta,2019,3,77.0
Antofagasta,2019,4,79.14
Antofagasta,2019,5,77.14
Antofagasta,2019,6,79.57
Antofagasta,2019,7,78.71
Antofagasta,2019,8,79.0
Antofagasta,2019,9,81.14
Antofagasta,2019,10,81.71
Antofagasta,2019,11,80.57
Antofagasta,2019,12,82.14
Antofagasta,2019,13,82.0
Antofagasta,2019,14,75.57
Antofagasta,2019,15,82.43
Antofagasta,2019,16,83.86
Antofagasta,2019,17,82.14
Antofagasta,2019,18,81.86
Antofagasta,2019,19,82.43
Antofagasta,2019,20,87.71
Antofagasta,2019,21,82.14
Antofagasta,2019,22,84.0
Antofagasta,2019,23,86.43
Antofagasta,2019,24,86.0
Antofagasta,2019,25,79.43
Antofagasta,2019,26,86.14
Antofagasta,2019,27,90.0
Antofagasta,2019,28,91.14
Antofagasta,2019,29,89.0
Antofagasta,2019,30,79.29
Antofagasta,2019,31,81.71
Antofagasta,2019,32,81.29
Antofagasta,2019,33,84.57
Antofagasta,2019,34,88.29
Antofagasta,2019,35,86.29
Antofagasta,2019,36,84.29
Antofagasta,2019,37,82.86
Antofagasta,2019,38,80.71
Antofagasta,2019,39,84.14
Antofagasta,2019,40,82.14
Antofagasta,2019,41,82.29
Antofagasta,2019,42,79.29
Antofagasta,2019,43,82.71
Antofagasta,2019,44,82.43
Antofagasta,2019,45,82.57
Antofagasta,2019,46,82.14
Antofagasta,2019,47,80.43
Antofagasta,2019,48,78.71
Antofagasta,2019,49,80.43
Antofagasta,2019,50,80.43
Antofagasta,2019,51,79.71
Antofagasta,2019,52,80.86
Antofagasta,2020,1,77.71
Antofagasta,2020,2,78.57
Antofagasta,2020,3,76.86
Antofagasta,2020,4,74.29
Antofagasta,2020,5,79.57
Antofagasta,2020,6,76.43
Antofagasta,2020,7,79.71
Antofagasta,2020,8,80.71
Antofagasta,2020,9,81.29
Antofagasta,2020,10,80.14
Antofagasta,2020,11,81.57
Antofagasta,2020,12,80.57
Antofagasta,2020,13,81.0
Antofagasta,2020,14,82.86
Antofagasta,2020,15,81.43
Antofagasta,2020,16,80.0
Antofagasta,2020,17,85.71
Antofagasta,2020,18,86.43
Antofagasta,2020,19,87.43
Antofagasta,2020,20,84.86
Antofagasta,2020,21,83.14
Antofagasta,2020,22,81.0
Antofagasta,2020,23,75.43
Antofagasta,2020,24,89.14
Antofagasta,2020,25,81.86
Antofagasta,2020,26,83.29
Antofagasta,2020,27,83.71
Antofagasta,2020,28,80.71
Antofagasta,2020,29,83.29
Antofagasta,2020,30,75.43
Antofagasta,2020,31,83.71
Antofagasta,2020,32,87.0
Antofagasta,2020,33,83.71
Antofagasta,2020,34,80.0
Antofagasta,2020,35,82.71
Antofagasta,2020,36,82.43
Antofagasta,2020,37,84.71
Antofagasta,2020,38,84.29
Antofagasta,2020,39,85.14
Antofagasta,2020,40,83.71
Antofagasta,2020,41,83.29
Antofagasta,2020,42,84.57
Antofagasta,2020,43,82.86
Antofagasta,2020,44,82.29
Antofagasta,2020,45,82.43
Antofagasta,2020,46,78.14
Antofagasta,2020,47,76.57
Antofagasta,2020,48,78.0
Antofagasta,2020,49,80.29
Antofagasta,2020,50,81.71
Antofagasta,2020,51,81.14
Antofagasta,2020,52,80.43
Antofagasta,2020,53,79.29
Antofagasta,2021,1,79.14
Antofagasta,2021,2,75.14
Antofagasta,2021,3,81.29
Antofagasta,2021,4,80.57
Antofagasta,2021,5,78.71
Antofagasta,2021,6,75.14
Antofagasta,2021,7,77.43
Antofagasta,2021,8,77.43
Antofagasta,2021,9,80.14
Antofagasta,2021,10,80.57
Antofagasta,2021,11,77.57
Antofagasta,2021,12,82.14
Antofagasta,2021,13,81.43
Antofagasta,2021,14,83.0
Antofagasta,2021,15,85.43
Antofagasta,2021,16,79.29
Antofagasta,2021,17,78.57
Antofagasta,2021,18,84.57
Antofagasta,2021,19,88.86
Antofagasta,2021,20,83.86
Antofagasta,2021,21,85.57
Antofagasta,2021,22,86.71
Antofagasta,2021,23,87.57
Antofagasta,2021,24,86.14
Antofagasta,2021,25,82.29
Antofagasta,2021,26,87.0
Antofagasta,2021,27,88.43
Antofagasta,2021,28,85.14
Antofagasta,2021,29,88.29
Antofagasta,2021,30,85.86
Antofagasta,2021,31,86.71
Antofagasta,2021,32,86.29
Antofagasta,2021,33,87.86
Antofagasta,2021,34,79.43
Antofagasta,2021,35,86.43
Antofagasta,2021,36,83.71
Antofagasta,2021,37,83.57
Antofagasta,2021,38,83.0
Antofagasta,2021,39,84.86
Antofagasta,2021,40,82.86
Antofagasta,2021,41,81.57
Antofagasta,2021,42,82.14
Antofagasta,2021,43,84.0
Antofagasta,2021,44,82.86
Antofagasta,2021,45,82.14
Antofagasta,2021,46,82.43
Antofagasta,2021,47,80.57
Antofagasta,2021,48,81.86
Antofagasta,2021,49,78.71
Antofagasta,2021,50,80.29
Antofagasta,2021,51,78.0
Antofagasta,2021,52,77.43
Antofagasta,2022,1,79.57
Antofagasta,2022,2,77.86
Antofagasta,2022,3,78.0
Antofagasta,2022,4,78.29
Antofagasta,2022,5,79.29
Antofagasta,2022,6,81.0
Antofagasta,2022,7,78.14
Antofagasta,2022,8,78.57
Antofagasta,2022,9,79.71
Antofagasta,2022,10,83.86
Antofagasta,2022,11,86.86
Antofagasta,2022,12,83.43
Antofagasta,2022,13,83.71
Antofagasta,2022,14,86.14
Antofagasta,2022,15,80.29
Antofagasta,2022,16,85.57
Antofagasta,2022,17,85.14
Antofagasta,2022,18,83.29
Antofagasta,2022,19,84.14
Antofagasta,2022,20,83.71
Antofagasta,2022,21,88.57
Antofagasta,2022,22,78.86
Antofagasta,2022,23,87.57
Antofagasta,2022,24,81.71
Antofagasta,2022,25,81.86
Antofagasta,2022,26,85.14
Antofagasta,2022,27,87.71
Antofagasta,2022,28,78.57
Antofagasta,2022,29,88.86
Antofagasta,2022,30,88.86
Antofagasta,2022,31,82.29
Antofagasta,2022,32,84.29
Antofagasta,2022,33,82.57
Antofagasta,2022,34,86.29
Antofagasta,2022,35,84.0
Antofagasta,2022,36,83.0
Antofagasta,2022,37,80.0
Antofagasta,2022,38,80.43
Antofagasta,2022,39,81.43
Antofagasta,2022,40,78.43
Antofagasta,2022,41,80.86
Antofagasta,2022,42,83.0
Antofagasta,2022,43,80.86
Antofagasta,2022,44,81.29
Antofagasta,2022,45,79.43
Antofagasta,2022,46,82.14
Antofagasta,2022,47,81.29
Antofagasta,2022,48,80.0
Antofagasta,2022,49,80.14
Antofagasta,2022,50,78.14
Antofagasta,2022,51,80.71
Antofagasta,2022,52,75.14
Antofagasta,2023,1,77.29
Antofagasta,2023,2,78.86
Antofagasta,2023,3,78.14
Antofagasta,2023,4,81.86
Antofagasta,2023,5,81.86
Antofagasta,2023,6,82.71
Antofagasta,2023,7,79.14
Antofagasta,2023,8,80.57
Antofagasta,2023,9,81.57
Antofagasta,2023,10,74.43
Antofagasta,2023,11,82.57
Antofagasta,2023,12,83.0
Antofagasta,2023,13,84.29
Antofagasta,2023,14,86.29
Antofagasta,2023,15,83.29
Antofagasta,2023,16,79.29
Antofagasta,2023,17,86.14
Antofagasta,2023,18,82.43
Antofagasta,2023,19,88.14
Antofagasta,2023,20,85.14
Antofagasta,2023,21,85.43
Antofagasta,2023,22,86.57
Antofagasta,2023,23,85.71
Antofagasta,2023,24,77.43
Antofagasta,2023,25,88.29
Antofagasta,2023,26,80.43
Antofagasta,2023,27,78.57
Antofagasta,2023,28,76.86
Antofagasta,2023,29,82.71
Antofagasta,2023,30,83.57
Antofagasta,2023,31,82.86
Antofagasta,2023,32,83.43
Antofagasta,2023,33,78.71
Antofagasta,2023,34,82.57
Antofagasta,2023,35,78.71
Antofagasta,2023,36,76.71
Antofagasta,2023,37,77.43
Antofagasta,2023,38,83.57
Antofagasta,2023,39,79.14
Antofagasta,2023,40,76.29
Antofagasta,2023,41,80.0
Antofagasta,2023,42,80.86
Antofagasta,2023,43,76.86
Antofagasta,2023,44,78.43
Antofagasta,2023,45,78.0
Antofagasta,2023,46,77.71
Antofagasta,2023,47,78.57
Antofagasta,2023,48,77.86
Antofagasta,2023,49,74.57
Antofagasta,2023,50,76.0
Antofagasta,2023,51,76.71
Antofagasta,2023,52,75.57
Antofagasta,2024,1,76.71
Antofagasta,2024,2,75.71
Antofagasta,2024,3,76.14
Antofagasta,2024,4,79.71
Antofagasta,2024,5,76.86
Antofagasta,2024,6,75.43
Antofagasta,2024,7,77.14
Antofagasta,2024,8,75.86
Antofagasta,2024,9,77.14
Antofagasta,2024,10,77.57
Antofagasta,2024,11,76.71
Antofagasta,2024,12,81.0
Antofagasta,2024,13,82.43
Antofagasta,2024,14,81.86
Antofagasta,2024,15,80.0
Antofagasta,2024,16,75.57
Antofagasta,2024,17,82.0
Antofagasta,2024,18,80.57
Antofagasta,2024,19,81.71
Antofagasta,2024,20,79.0
Antofagasta,2024,21,84.86
Antofagasta,2024,22,82.86
Antofagasta,2024,23,82.29
Antofagasta,2024,24,82.86
Antofagasta,2024,25,78.43
Antofagasta,2024,26,83.14
Antofagasta,2024,27,81.86
Antofagasta,2024,28,73.86
Antofagasta,2024,29,77.14
Antofagasta,2024,30,80.43
Antofagasta,2024,31,84.29
Antofagasta,2024,32,79.86
Antofagasta,2024,33,82.29
Antofagasta,2024,34,74.43
Antofagasta,2024,35,80.43
Antofagasta,2024,36,83.57
Antofagasta,2024,37,80.71
Antofagasta,2024,38,81.86
Antofagasta,2024,39,80.57
Antofagasta,2024,40,80.14
Antofagasta,2024,41,73.71
Antofagasta,2024,42,80.86
Antofagasta,2024,43,79.71
Antofagasta,2024,44,81.43
Antofagasta,2024,45,79.14
Antofagasta,2024,46,78.86
Antofagasta,2024,47,79.43
Antofagasta,2024,48,78.14
Antofagasta,2024,49,76.71
Antofagasta,2024,50,76.43
Antofagasta,2024,51,78.14
Antofagasta,2024,52,78.14
Antofagasta,2025,1,76.86
Antofagasta,2025,2,77.57
Antofagasta,2025,3,76.71
Antofagasta,2025,4,75.86
Antofagasta,2025,5,76.14
Antofagasta,2025,6,77.86
Antofagasta,2025,7,75.57
Antofagasta,2025,8,76.14
Antofagasta,2025,9,78.71
Antofagasta,2025,10,75.14
Antofagasta,2025,11,77.86
Antofagasta,2025,12,80.14
Antofagasta,2025,13,76.0
Antofagasta,2025,14,79.29
Antofagasta,2025,15,79.0
Antofagasta,2025,16,82.14
Antofagasta,2025,17,80.0
Antofagasta,2025,18,80.86
Antofagasta,2025,19,79.57
Antofagasta,2025,20,83.29
Antofagasta,2025,21,84.0
Antofagasta,2025,22,83.57
Antofagasta,2025,23,83.0
Antofagasta,2025,24,78.43
Antofagasta,2025,25,78.29
Antofagasta,2025,26,75.86
Antofagasta,2025,27,83.57
Antofagasta,2025,28,83.43
Antofagasta,2025,29,83.14
Antofagasta,2025,30,81.0
Antofagasta,2025,31,80.0
Antofagasta,2025,32,82.0
Antofagasta,2025,33,80.14
Antofagasta,2025,34,70.86
Antofagasta,2025,35,71.0
Antofagasta,2025,36,80.71
Antofagasta,2025,37,76.71
Antofagasta,2025,38,82.43
Antofagasta,2025,39,81.57
Antofagasta,2025,40,81.0
Antofagasta,2025,41,76.43
Antofagasta,2025,42,79.29
Antofagasta,2025,43,78.86
Antofagasta,2025,44,77.0
Antofagasta,2025,45,75.14
Antofagasta,2025,46,76.57
Antofagasta,2025,47,74.71
Antofagasta,2025,48,77.29
Antofagasta,2025,49,75.29
Antofagasta,2025,50,72.43
Antofagasta,2025,51,64.29
Antofagasta,2025,52,72.43
Antofagasta,2026,1,76.71
Antofagasta,2026,2,75.57
Antofagasta,2026,3,77.71
Antofagasta,2026,4,76.14
Antofagasta,2026,5,73.43
Antofagasta,2026,6,70.43
Antofagasta,2026,7,76.57
Antofagasta,2026,8,76.29
Antofagasta,2026,9,76.86
Antofagasta,2026,10,73.43
Antofagasta,2026,11,76.43
Antofagasta,2026,12,75.86
Antofagasta,2026,13,79.14
Antofagasta,2026,14,80.57
Antofagasta,2026,15,78.29
Antofagasta,2026,16,79.14
Antofagasta,2026,17,80.14
Antofagasta,2026,18,78.0
Antofagasta,2026,19,78.0
Antofagasta,2026,20,87.86
Antofagasta,2026,21,84.57
Antofagasta,2026,22,89.0
Antofagasta,2026,23,90.0
Antofagasta,2026,24,87.43
Antofagasta,2026,25,90.0
Arica y Parinacota,2014,1,74.2
Arica y Parinacota,2014,2,73.14
Arica y Parinacota,2014,3,72.57
Arica y Parinacota,2014,4,73.43
Arica y Parinacota,2014,5,70.71
Arica y Parinacota,2014,6,72.57
Arica y Parinacota,2014,7,76.0
Arica y Parinacota,2014,8,72.14
Arica y Parinacota,2014,9,72.14
Arica y Parinacota,2014,10,76.14
Arica y Parinacota,2014,11,74.0
Arica y Parinacota,2014,12,77.0
Arica y Parinacota,2014,13,78.86
Arica y Parinacota,2014,14,80.29
Arica y Parinacota,2014,15,82.29
Arica y Parinacota,2014,16,84.43
Arica y Parinacota,2014,17,88.29
Arica y Parinacota,2014,18,90.0
Arica y Parinacota,2014,19,92.29
Arica y Parinacota,2014,20,92.86
Arica y Parinacota,2014,21,92.57
Arica y Parinacota,2014,22,92.29
Arica y Parinacota,2014,23,91.71
Arica y Parinacota,2014,24,93.29
Arica y Parinacota,2014,25,93.0
Arica y Parinacota,2014,26,92.57
Arica y Parinacota,2014,27,92.57
Arica y Parinacota,2014,28,92.71
Arica y Parinacota,2014,29,93.29
Arica y Parinacota,2014,30,91.86
Arica y Parinacota,2014,31,92.71
Arica y Parinacota,2014,32,93.71
Arica y Parinacota,2014,33,92.86
Arica y Parinacota,2014,34,93.29
Arica y Parinacota,2014,35,93.0
Arica y Parinacota,2014,36,93.57
Arica y Parinacota,2014,37,92.43
Arica y Parinacota,2014,38,92.71
Arica y Parinacota,2014,39,92.43
Arica y Parinacota,2014,40,92.57
Arica y Parinacota,2014,41,91.71
Arica y Parinacota,2014,42,91.86
Arica y Parinacota,2014,43,89.86
Arica y Parinacota,2014,44,85.57
Arica y Parinacota,2014,45,84.14
Arica y Parinacota,2014,46,81.86
Arica y Parinacota,2014,47,81.86
Arica y Parinacota,2014,48,81.86
Arica y Parinacota,2014,49,82.43
Arica y Parinacota,2014,50,79.14
Arica y Parinacota,2014,51,77.86
Arica y Parinacota,2014,52,80.14
Arica y Parinacota,2015,1,80.14
Arica y Parinacota,2015,2,80.57
Arica y Parinacota,2015,3,81.43
Arica y Parinacota,2015,4,75.29
Arica y Parinacota,2015,5,76.29
Arica y Parinacota,2015,6,78.0
Arica y Parinacota,2015,7,77.86
Arica y Parinacota,2015,8,75.86
Arica y Parinacota,2015,9,75.29
Arica y Parinacota,2015,10,74.43
Arica y Parinacota,2015,11,74.14
Arica y Parinacota,2015,12,78.57
Arica y Parinacota,2015,13,80.29
Arica y Parinacota,2015,14,75.43
Arica y Parinacota,2015,15,79.57
Arica y Parinacota,2015,16,81.0
Arica y Parinacota,2015,17,83.43
Arica y Parinacota,2015,18,85.0
Arica y Parinacota,2015,19,89.71
Arica y Parinacota,2015,20,92.14
Arica y Parinacota,2015,21,92.29
Arica y Parinacota,2015,22,92.29
Arica y Parinacota,2015,23,93.14
Arica y Parinacota,2015,24,93.29
Arica y Parinacota,2015,25,92.86
Arica y Parinacota,2015,26,94.0
Arica y Parinacota,2015,27,92.86
Arica y Parinacota,2015,28,92.86
Arica y Parinacota,2015,29,91.71
Arica y Parinacota,2015,30,93.57
Arica y Parinacota,2015,31,93.86
Arica y Parinacota,2015,32,91.0
Arica y Parinacota,2015,33,92.29
Arica y Parinacota,2015,34,93.57
Arica y Parinacota,2015,35,93.0
Arica y Parinacota,2015,36,93.57
Arica y Parinacota,2015,37,92.71
Arica y Parinacota,2015,38,91.86
Arica y Parinacota,2015,39,90.57
Arica y Parinacota,2015,40,91.71
Arica y Parinacota,2015,41,90.43
Arica y Parinacota,2015,42,90.0
Arica y Parinacota,2015,43,89.43
Arica y Parinacota,2015,44,88.86
Arica y Parinacota,2015,45,85.71
Arica y Parinacota,2015,46,87.14
Arica y Parinacota,2015,47,85.43
Arica y Parinacota,2015,48,84.86
Arica y Parinacota,2015,49,85.71
Arica y Parinacota,2015,50,84.14
Arica y Parinacota,2015,51,81.14
Arica y Parinacota,2015,52,83.14
Arica y Parinacota,2015,53,81.71
Arica y Parinacota,2016,1,78.71
Arica y Parinacota,2016,2,78.57
Arica y Parinacota,2016,3,75.86
Arica y Parinacota,2016,4,75.57
Arica y Parinacota,2016,5,75.0
Arica y Parinacota,2016,6,76.57
Arica y Parinacota,2016,7,76.71
Arica y Parinacota,2016,8,85.14
Arica y Parinacota,2016,9,80.57
Arica y Parinacota,2016,10,77.29
Arica y Parinacota,2016,11,74.86
Arica y Parinacota,2016,12,79.14
Arica y Parinacota,2016,13,78.14
Arica y Parinacota,2016,14,82.0
Arica y Parinacota,2016,15,83.29
Arica y Parinacota,2016,16,88.71
Arica y Parinacota,2016,17,90.71
Arica y Parinacota,2016,18,89.71
Arica y Parinacota,2016,19,91.43
Arica y Parinacota,2016,20,92.86
Arica y Parinacota,2016,21,93.29
Arica y Parinacota,2016,22,93.71
Arica y Parinacota,2016,23,93.29
Arica y Parinacota,2016,24,93.43
Arica y Parinacota,2016,25,92.0
Arica y Parinacota,2016,26,93.0
Arica y Parinacota,2016,27,91.29
Arica y Parinacota,2016,28,94.0
Arica y Parinacota,2016,29,94.14
Arica y Parinacota,2016,30,94.43
Arica y Parinacota,2016,31,93.71
Arica y Parinacota,2016,32,93.29
Arica y Parinacota,2016,33,93.57
Arica y Parinacota,2016,34,93.29
Arica y Parinacota,2016,35,92.71
Arica y Parinacota,2016,36,92.71
Arica y Parinacota,2016,37,91.86
Arica y Parinacota,2016,38,92.14
Arica y Parinacota,2016,39,90.86
Arica y Parinacota,2016,40,90.57
Arica y Parinacota,2016,41,88.29
Arica y Parinacota,2016,42,88.14
Arica y Parinacota,2016,43,86.71
Arica y Parinacota,2016,44,85.0
Arica y Parinacota,2016,45,84.43
Arica y Parinacota,2016,46,82.71
Arica y Parinacota,2016,47,80.14
Arica y Parinacota,2016,48,82.57
Arica y Parinacota,2016,49,77.86
Arica y Parinacota,2016,50,78.0
Arica y Parinacota,2016,51,75.71
Arica y Parinacota,2016,52,74.71
Arica y Parinacota,2017,1,68.57
Arica y Parinacota,2017,2,71.71
Arica y Parinacota,2017,3,65.14
Arica y Parinacota,2017,4,65.29
Arica y Parinacota,2017,5,66.14
Arica y Parinacota,2017,6,64.29
Arica y Parinacota,2017,7,62.29
Arica y Parinacota,2017,8,64.86
Arica y Parinacota,2017,9,64.57
Arica y Parinacota,2017,10,65.0
Arica y Parinacota,2017,11,66.43
Arica y Parinacota,2017,12,65.0
Arica y Parinacota,2017,13,64.29
Arica y Parinacota,2017,14,67.43
Arica y Parinacota,2017,15,69.43
Arica y Parinacota,2017,16,70.71
Arica y Parinacota,2017,17,73.57
Arica y Parinacota,2017,18,70.57
Arica y Parinacota,2017,19,70.0
Arica y Parinacota,2017,20,70.86
Arica y Parinacota,2017,21,73.29
Arica y Parinacota,2017,22,74.43
Arica y Parinacota,2017,23,77.57
Arica y Parinacota,2017,24,83.29
Arica y Parinacota,2017,25,80.43
Arica y Parinacota,2017,26,77.29
Arica y Parinacota,2017,27,81.43
Arica y Parinacota,2017,28,76.71
