EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas
106100,Hospital Carlos Van Buren (Valparaíso),5,Región De Valparaíso,5101,Valparaíso,6,Servicio de Salud Valparaíso San Antonio,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria (UEH),"-33,050258","-71,611098",Alta Complejidad,2019,16,4,IRA Alta (J00-J06),419,46,184,185,2,2
113806,SAPU La Feria,13,Región Metropolitana de Santiago,13121,Pedro Aguirre Cerda,13,Servicio de Salud Metropolitano Sur,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,Primario,Urgencia Ambulatoria (SAPU),"-33,489687","-70,676158",Baja Complejidad,2020,25,4,IRA Alta (J00-J06),10,1,0,0,9,0
200957,SUR Dichato,8,Región Del Bíobío,8111,Tome,19,Servicio de Salud Talcahuano,Servicio de Urgencia Rural (SUR),Municipal,Primario,Urgencia Ambulatoria (SUR),"-36,549329","-72,939859",Baja Complejidad,2021,25,4,IRA Alta (J00-J06),0,0,0,0,0,0
200829,SUR Cobquecura,16,Región De Ñuble,16202,Cobquecura,17,Servicio de Salud Ñuble,Servicio de Urgencia Rural (SUR),Municipal,Primario,Urgencia Ambulatoria (SUR),"-36,132808","-72,793238",Baja Complejidad,2021,22,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
102800,SAPU Cirujano Aguirre,1,Región De Tarapacá,1101,Iquique,2,Servicio de Salud Tarapacá,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,Primario,Urgencia Ambulatoria (SAPU),"-20,226257","-70,134701",Baja Complejidad,2022,15,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
