fecha,residuo
2014-01-06,7.924369278021048
2014-01-13,-5.076795757772152
2014-01-20,0.3851813324332918
2014-01-27,0.4911753396764098
2014-02-03,0.0860650816408084
2014-02-10,0.1597601768724024
2014-02-17,-0.014499144513131945
2014-02-24,0.08556716105386197
2014-03-03,0.017700976642845312
2014-03-10,0.05363289566956553
2014-03-17,0.17056568597791788
2014-03-24,0.271999031933678
2014-03-31,-0.03546601298641683
2014-04-07,-0.17101451560041347
2014-04-14,-0.0667012092094943
2014-04-21,-0.061275087042229615
2014-04-28,0.13587555582644661
2014-05-05,-0.21880458158512717
2014-05-12,-0.04039465633167616
2014-05-19,0.037542877581318024
2014-05-26,0.0575182055490675
2014-06-02,-0.015043499308895036
2014-06-09,0.06297973647621014
2014-06-16,0.024559549419359783
2014-06-23,0.19976997376340222
2014-06-30,0.06439132743435749
2014-07-07,0.22423011369513546
2014-07-14,0.11347073807621655
2014-07-21,0.059895632367789275
2014-07-28,-0.16955490895682956
2014-08-04,0.10665646194707179
2014-08-11,-0.01973468799974576
2014-08-18,0.21674529966528588
2014-08-25,0.04031487392136768
2014-09-01,-0.025261511595711994
2014-09-08,-0.03839307835973926
2014-09-15,0.011543423155146115
2014-09-22,-0.1329710261585646
2014-09-29,0.06487594480705283
2014-10-06,-0.07665664178865939
2014-10-13,0.13942039694859076
2014-10-20,-0.023673301032516747
2014-10-27,-0.022655683683336036
2014-11-03,-0.007303717484395733
2014-11-10,0.07000589136964308
2014-11-17,-0.046687925133099384
2014-11-24,-0.013334596879531091
2014-12-01,-0.05957712095591461
2014-12-08,0.0031297704293891115
2014-12-15,0.05613606164130225
2014-12-22,-0.021492824879316252
2014-12-29,0.09708055066627441
2015-01-05,-0.530283676795765
2015-01-12,0.5424113245264488
2015-01-19,-0.10674085829402191
2015-01-26,0.04776139611023211
2015-02-02,-0.03689728033057893
2015-02-09,-0.0010607700460285585
2015-02-16,-0.024625266176405702
2015-02-23,0.17027231798844777
2015-03-02,-0.022756056661714652
2015-03-09,-0.05392610259297381
2015-03-16,0.20490265202471747
2015-03-23,0.14933395545161154
2015-03-30,-0.2106834563742499
2015-04-06,-0.014579516476251442
2015-04-13,-0.04225330485422596
2015-04-20,0.032984720432388315
2015-04-27,0.09279292724516708
2015-05-04,-0.05647397633485163
2015-05-11,-0.09227190973727772
2015-05-18,0.080206023226987
2015-05-25,0.04031871247294028
2015-06-01,-0.05212428302824712
2015-06-08,-0.006513325909939027
2015-06-15,0.07000425561122192
2015-06-22,0.043251873667692564
2015-06-29,0.041091836321974995
2015-07-06,0.07892488387349417
2015-07-13,-0.05548958901223244
2015-07-20,-0.043650905316614086
2015-07-27,-0.051125588043824166
2015-08-03,0.005026231704032824
2015-08-10,0.021776586448394752
2015-08-17,0.1893663979230631
2015-08-24,0.15614060232934435
2015-08-31,0.1344194253103126
2015-09-07,0.017860710042238992
2015-09-14,0.09141715569679398
2015-09-21,-0.05315652582416064
2015-09-28,0.18496263125340207
2015-10-05,-0.04165957990201541
2015-10-12,0.06101867054343657
2015-10-19,0.09422448985116105
2015-10-26,0.020687604468427878
2015-11-02,0.02541563179865136
2015-11-09,0.09692980213147528
2015-11-16,0.12409965385320909
2015-11-23,0.04575234735316158
2015-11-30,0.02435903008862006
2015-12-07,0.020797591396057413
2015-12-14,0.06548631678386485
2015-12-21,-0.02011020694015464
2015-12-28,0.1834391871790224
2016-01-04,-0.32019368914699875
2016-01-11,-0.723363212883962
2016-01-18,1.0637567200421003
2016-01-25,-0.1712188342183012
2016-02-01,-0.08338072788706796
2016-02-08,-0.0018947999036598162
2016-02-15,-0.0887548295654268
2016-02-22,0.06776931709597633
2016-02-29,0.018195534192297025
2016-03-07,-0.1038976372882594
2016-03-14,-0.111285266173339
2016-03-21,0.19743358166550884
2016-03-28,0.2830172839952372
2016-04-04,-0.06464576136377254
2016-04-11,-0.06185953726729565
2016-04-18,-0.024112877471587524
2016-04-25,0.0007894230107616806
2016-05-02,-0.019289737831943654
2016-05-09,0.02335586460019279
2016-05-16,0.04430707800651135
2016-05-23,0.05805792818641642
2016-05-30,0.03195428768968256
2016-06-06,0.029711012044643326
2016-06-13,-0.04405070471561778
2016-06-20,0.11884720141089922
2016-06-27,0.0826819831222192
2016-07-04,0.029092353098310042
2016-07-11,0.06454933687133035
2016-07-18,0.08580206278521985
2016-07-25,0.018743709713008982
2016-08-01,-0.032603399873854855
2016-08-08,0.04216294527935105
2016-08-15,0.10532846265853202
2016-08-22,0.1717877528457059
2016-08-29,0.035295638563285436
2016-09-05,-0.060954530415553876
2016-09-12,0.010880315482937775
2016-09-19,-0.005111736197564554
2016-09-26,-0.059147441348347485
2016-10-03,0.08216788594639901
2016-10-10,-0.0345761242440652
2016-10-17,0.02718133684085089
2016-10-24,0.061737451549895184
2016-10-31,-0.07983919789067073
2016-11-07,-0.15293038065337683
2016-11-14,-0.12969818520031318
2016-11-21,-0.11035405851433389
2016-11-28,-0.035532144509787145
2016-12-05,0.042059943622051676
2016-12-12,0.06017206999637281
2016-12-19,0.03432395124276333
2016-12-26,-0.02124394074361291
2017-01-02,-0.08302485505229562
2017-01-09,0.38439316946630875
2017-01-16,-0.09565568710921468
2017-01-23,-0.17829883512526035
2017-01-30,-0.009028067915845206
2017-02-06,0.1450183148445321
2017-02-13,0.08898275034250691
2017-02-20,0.08394924872572318
2017-02-27,-0.038713811023002975
2017-03-06,-0.00782114623842567
2017-03-13,-0.15193404879449268
2017-03-20,0.07438572028028467
2017-03-27,0.32569438128942885
2017-04-03,0.08922876799408463
2017-04-10,-0.058737652869455204
2017-04-17,0.03975335250555112
