fecha,semana,prediccion,ic_inferior,ic_superior
2026-05-11,18,67327.99187094967,52225.473671729094,86797.75985600549
2026-05-18,19,76087.21033310707,53202.19761693259,108816.06384227904
2026-05-25,20,83335.90599237592,55398.482361004506,125361.90240268904
2026-06-01,21,88536.64205083353,57451.88757859939,136439.7324035257
