fecha,fold,y_true,pred_seasonal_naive,pred_arima_fourier,lo_arima_fourier,hi_arima_fourier,pred_sarimax,lo_sarimax,hi_sarimax
2025-05-12,0,8992.0,7250.0,8399.781236507744,6518.3511923856095,10824.176202516548,8449.550327896657,6558.7361550082605,10885.383103959517
2025-05-19,0,9517.0,7577.0,8355.703765289792,5776.705487296518,12085.891236383402,8392.774565155552,5805.769932754357,12132.329246132671
2025-05-26,0,9259.0,7190.0,8184.274078118486,5279.448302412193,12687.072659155161,8224.751201631296,5309.345229436766,12740.729568929602
2025-06-02,0,8585.0,7216.0,7939.1748566487195,4911.179610167081,12833.705112098309,7997.85908794549,4950.917043888366,12919.601484585477
2025-06-09,1,7891.0,7717.0,8110.733228395985,6298.898921184448,10443.646301768347,8099.872409058943,6291.9971906698875,10427.120623531817
2025-06-16,1,7849.0,7419.0,7691.725756925592,5322.709511758324,11114.938884449199,7658.8306314670735,5302.923522796214,11061.18916064405
2025-06-23,1,7218.0,6877.0,7326.21945445125,4730.466859468474,11346.040257980403,7342.545962294341,4744.215531559837,11363.640223750288
2025-06-30,1,7029.0,6672.0,7025.94599737759,4350.147556181852,11347.26374249424,7012.806841085267,4344.858818558466,11318.623682660753
2025-07-07,2,5957.0,5628.0,6817.0838661041935,5298.358597968394,8771.055475364823,6849.766861365628,5325.054867359652,8810.964532399214
2025-07-14,2,4896.0,4751.0,6649.014836989147,4606.746006454724,9596.468538896626,6687.932505938471,4636.009167362687,9647.85262334889
2025-07-21,2,4221.0,4560.0,6535.727458847792,4226.331053807901,10106.750097491276,6567.346271616265,4249.282162790123,10149.660848251471
2025-07-28,2,5344.0,5781.0,6470.07579110041,4012.622224234158,10432.17471219055,6511.5915230480805,4040.6721752581375,10493.133741405878
2025-08-04,3,5332.0,5560.0,5748.755593391169,4465.685183708242,7400.392313099371,5707.970751850228,4435.030085141153,7346.188008181483
2025-08-11,3,5931.0,6045.0,6004.078160860869,4155.957591415414,8673.845226354511,5985.614036905692,4144.892181037605,8643.592300494076
2025-08-18,3,6405.0,6874.0,6236.9025068846195,4029.9463533742223,9652.174285692357,6228.818749236687,4026.6872490737883,9634.962091462265
2025-08-25,3,6343.0,6822.0,6431.167323417998,3986.194085211444,10375.413987445065,6410.8801311542575,3975.5156793030396,10337.751342103707
2025-09-01,4,6225.0,6921.0,6461.447128312471,5022.757936332562,8312.143948317313,6498.926003401659,5053.133114929697,8358.304570925366
2025-09-08,4,6353.0,7497.0,6564.373858301087,4550.231932542085,9469.871741574274,6571.40895942826,4556.767031655569,9476.570755581619
2025-09-15,4,6344.0,7021.0,6611.771553475648,4278.9667690888045,10216.07643486365,6613.524675701567,4281.943021298953,10214.390788037053
2025-09-22,4,5344.0,6501.0,6602.100181944395,4098.71207129922,10634.120529080656,6606.116750478218,4102.937024107787,10636.100788343703
2025-09-29,5,5696.0,6634.0,5266.043929194946,4095.185118146096,6771.582525426744,5249.66584875473,4083.4413821556177,6748.880650932263
2025-10-06,5,5285.0,6743.0,5313.932620353791,3685.2783060663833,7662.151399180361,5323.19194460045,3693.2358937014656,7672.310713936526
2025-10-13,5,5794.0,6958.0,5350.451924687204,3464.467025494035,8262.832116006284,5345.890211091309,3463.1881049367994,8251.795189938348
2025-10-20,5,6022.0,7223.0,5353.83457376699,3325.64777869785,8618.563963466631,5358.96321974947,3330.367351993871,8622.848012400153
2025-10-27,6,6152.0,7400.0,5917.674943740745,4604.375882848584,7605.482940974799,5918.785226596815,4606.208950999639,7605.309481889321
2025-11-03,6,5856.0,6598.0,5708.531683563046,3964.289125522144,8220.027777216044,5705.260108129047,3963.001391826916,8213.27673783387
2025-11-10,6,6476.0,6036.0,5439.074012112366,3527.878303613753,8385.349063654065,5438.325522651876,3528.3098310825335,8382.016384905264
2025-11-17,6,6907.0,6545.0,5132.5750652572315,3194.2341581469536,8246.781428924856,5128.463795664664,3192.3721255044143,8238.377622449334
2025-11-24,7,6337.0,6711.0,6382.929849584249,4968.012725345332,8200.741991228337,6373.374058290326,4961.657289735781,8186.678951565889
2025-12-01,7,5968.0,6527.0,5726.138095985276,3976.57578105333,8245.256658823435,5723.863651892835,3976.3561939177594,8239.163122146925
2025-12-08,7,5353.0,6029.0,5105.781691506909,3310.612080117649,7874.082773518469,5079.309166317561,3294.9475453230098,7829.689314820646
2025-12-15,7,5208.0,5344.0,4563.493442124554,2838.2240266303074,7337.131893708052,4577.722664491018,2848.45036081213,7356.454450390403
2025-12-22,8,4855.0,4605.0,4695.07159867793,3656.7522473551962,6028.136739880447,4690.029514769783,3653.6868319699415,6020.243110611405
2025-12-29,8,4114.0,4036.0,4221.407510788463,2934.4628482675707,6072.565263374001,4198.631316157729,2919.772074207135,6037.438722213664
2026-01-05,8,2203.0,1973.0,3850.103133226107,2499.021889202194,5931.346195367439,3838.4691164855767,2492.5597857151492,5910.83864164648
2026-01-12,8,3118.0,3546.0,3671.5271312064315,2285.696148222263,5897.228122670709,3665.6303364900696,2282.9324279243892,5885.416717103662
2026-01-19,9,2671.0,3217.0,3191.192765259134,2473.6543246492147,4116.785077726852,3188.533435094111,2472.141988037515,4112.440951951084
2026-01-26,9,2263.0,2742.0,3168.695233704806,2194.8111460292994,4574.515473058314,3141.406562324487,2176.6589144744653,4533.55724278247
2026-02-02,9,2166.0,2583.0,3191.4846769729534,2066.826011049619,4927.827840565615,3115.62469759938,2018.4801277284264,4808.82673328522
2026-02-09,9,2292.0,2469.0,3256.952505242649,2025.2545283106278,5237.361902769631,3241.8455335206268,2016.6019041856453,5211.151679901996
2026-02-16,10,2274.0,2545.0,2505.6148802609305,1942.4886486703767,3231.9070520911296,2496.4009983743786,1935.8524695718922,3219.1790506325583
2026-02-23,10,2473.0,2597.0,2780.102969390454,1927.1558323133918,4010.363395391412,2761.6624016070955,1915.5131710728776,3981.3903432820493
2026-03-02,10,2553.0,2447.0,3107.0899885512454,2013.3588673950783,4794.681411736159,3007.901596958918,1950.2635224292426,4638.808368328802
2026-03-09,10,3602.0,2954.0,3477.458617452999,2162.424831467191,5591.833260181855,3446.2878108027057,2144.1506661606336,5538.840831683114
2026-03-16,11,5541.0,4031.0,4171.998547097724,3234.6756029219987,5380.848804111873,4177.6917111324265,3240.6254869737922,5385.63842780553
2026-03-23,11,7305.0,6149.0,4653.222986255587,3226.8705741271056,6709.861265448275,4634.839063803332,3216.342877096766,6678.736865620547
2026-03-30,11,6354.0,6057.0,5108.987711824987,3312.0977175070198,7880.438050263919,5079.005910201988,3295.533054353218,7827.363805910743
2026-04-06,11,5813.0,5182.0,5524.382207188805,3436.7696054865673,8879.713962562819,5503.16537469534,3426.8967970365056,8837.024673959417
2026-04-13,12,5188.0,5200.0,5892.709134288564,4564.035493140697,7608.099077496674,5849.348117924224,4532.68136083539,7548.399787238868
2026-04-20,12,5095.0,5526.0,6030.261050603091,4169.225887179518,8721.815225034354,5984.705363110615,4141.149765711176,8648.776256416859
2026-04-27,12,5441.0,7029.0,6166.783410272292,3984.8098657962964,9543.246583982514,6143.534762624506,3973.5926497120536,9498.164009130907
2026-05-04,12,5514.0,8175.0,6302.16834010042,3909.5985890532006,10158.552359799563,6296.937207780712,3910.146784223958,10140.274480706754
