fecha,fold,y_true,pred_seasonal_naive,pred_arima_fourier,lo_arima_fourier,hi_arima_fourier,pred_sarimax,lo_sarimax,hi_sarimax
2025-05-12,0,13986.0,13885.0,15078.782073715674,11548.340960365293,19688.420216369144,15155.59001791366,11562.23894258124,19865.59811423386
2025-05-19,0,14204.0,18379.0,15332.556358603175,10585.448904279248,22208.331261913576,15538.835252930352,10608.845799947027,22759.602203042636
2025-05-26,0,13958.0,19834.0,15447.46515833974,10224.022726638015,23339.297829040293,15808.175792549378,10293.196065227568,24277.73314789096
2025-06-02,0,13296.0,18464.0,15363.572657142198,10020.947519050385,23554.311229465522,15685.776124673284,10075.25783948495,24420.263241334244
2025-06-09,1,12871.0,19053.0,13653.625568411404,10459.663108022174,17822.803088594723,13560.251860704164,10345.260089151718,17774.26859413512
2025-06-16,1,12784.0,15588.0,14119.733530282818,9691.597203180645,20570.89742371854,13839.626425119568,9446.409581640617,20275.768799352896
2025-06-23,1,12397.0,11990.0,14329.128001970563,9462.249425256405,21699.005920249412,13979.746334248928,9103.258987435549,21468.212193146497
2025-06-30,1,11202.0,9515.0,14299.076161964618,9343.069664193728,21883.70180413983,13963.180683728373,8974.616225476691,21724.34311508582
2025-07-07,2,8838.0,7672.0,11362.220185855776,8694.137058163025,14848.998582945771,11463.52565853107,8756.084781539881,15008.030042987106
2025-07-14,2,8639.0,6737.0,11854.876510481557,8111.839606941469,17324.845775568094,11567.541146936655,7934.449369930187,16863.973617687367
2025-07-21,2,9069.0,8131.0,12235.582042062197,8047.783812304409,18602.300021950694,11988.945077928967,7832.947133712937,18349.74714164147
2025-07-28,2,10691.0,10240.0,12456.240165493058,8114.745556488209,19120.204756932177,12204.869491255584,7853.594652901329,18966.656081721856
2025-08-04,3,11594.0,13267.0,12128.590042288546,9300.44816776283,15816.639569707155,11891.849446987606,9085.097502613879,15565.624497263443
2025-08-11,3,11867.0,14339.0,13267.236688628826,9125.2405102814,19289.10139795755,12822.659105915733,8789.291841263677,18706.710259719315
2025-08-18,3,13582.0,16005.0,14037.415681865496,9299.610898901552,21188.695709141302,13211.263277796557,8652.048177613753,20172.68877864619
2025-08-25,3,14182.0,17711.0,14627.18186457455,9618.969654024258,22242.698510374543,13361.594644133838,8647.829854064612,20644.44437066462
2025-09-01,4,14685.0,16990.0,14630.517881542726,11205.95161287639,19101.54660794044,14598.215781332146,11131.835188975796,19143.907636911303
2025-09-08,4,15472.0,15720.0,14943.798627458547,10288.483075627035,21705.338829045235,14737.195033315358,10159.960336212327,21376.34875963623
2025-09-15,4,16452.0,15683.0,15132.79604214474,9967.410392022102,22974.75778265851,14712.499616906114,9703.82388530623,22306.161215410895
2025-09-22,4,15095.0,14149.0,15242.333634520832,9883.042770217042,23507.520318575243,14915.90201431651,9722.40685400476,22883.362348066676
2025-09-29,5,17822.0,15680.0,14901.977304656923,11419.919290826858,19445.659843004607,15050.377863131715,11497.451863796881,19701.12844844356
2025-10-06,5,15596.0,13245.0,15033.706730422882,10331.951921973388,21874.879049542073,15087.296716142439,10335.029027319884,22024.54745082655
2025-10-13,5,16384.0,13964.0,15220.698728507046,10026.571782641924,23105.303021686064,15332.888955119055,10038.158559432854,23420.101389716998
2025-10-20,5,17076.0,13847.0,15192.04877146742,9906.810901622497,23296.652050907367,15420.316978105473,9970.77998219501,23848.00366472539
