fecha,semana,prediccion,ic_inferior,ic_superior
2026-05-11,18,10553.820563910238,8050.276820497437,13835.84099057713
2026-05-18,19,12783.40739695012,8742.618526727532,18691.612445475013
2026-05-25,20,14754.898298610144,9654.706101141095,22549.03749266913
2026-06-01,21,15921.63672727681,10309.504580223063,24588.520171023414
